trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
386,False,"{'a': 0.01, 'e': 0.02127973643837717}",25,13,24.76197852905961,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.01, 'e': 0.021067999523041434}",20,8,16.00156901542444,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.01, 'e': 0.020858369425214716}",25,0,36.370478723448684,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
389,False,"{'a': 0.01, 'e': 0.020650825181712566}",20,12,11.108208800503,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.01, 'e': 0.020445346037937653}",20,6,24.343057738969847,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.01, 'e': 0.02024191144580439}",30,16,23.710639313920172,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.01, 'e': 0.020040501061684014}",30,7,37.42439122564521,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.01, 'e': 0.019841094744370288}",20,0,27.50002698366005,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
394,False,"{'a': 0.01, 'e': 0.019643672553065292}",25,0,25.68741522340654,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
395,False,"{'a': 0.01, 'e': 0.01944821474538539}",30,0,33.99533300171747,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
396,False,"{'a': 0.01, 'e': 0.01925470177538692}",20,2,29.5784067195687,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.01, 'e': 0.019063114291611637}",20,15,5.5700250616224825,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.01, 'e': 0.018873433135151486}",20,9,21.204088777779997,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.01, 'e': 0.018685639337732773}",20,2,30.115018126999395,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.01, 'e': 0.018499714119819242}",20,14,10.548967634998544,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.01, 'e': 0.01831563888873418}",20,12,16.48106469688308,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.01, 'e': 0.018133395236801075}",20,12,15.321112665792576,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.01, 'e': 0.01795296493950285}",30,12,28.72160179944581,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.01, 'e': 0.01777432995365944}",35,25,22.504471108310835,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.01, 'e': 0.017597472415623393}",25,15,21.097133574010414,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.01, 'e': 0.017422374639493515}",20,2,28.932727960906647,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.01, 'e': 0.017249019115346265}",20,0,-9.35187250553242,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
408,False,"{'a': 0.01, 'e': 0.017077388507484793}",30,12,19.801651031025454,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
409,False,"{'a': 0.01, 'e': 0.01690746565270528}",20,2,31.10002584110985,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.01, 'e': 0.016739233558580632}",25,11,28.199905268328024,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.01, 'e': 0.016572675401761255}",25,5,38.65181878829536,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.01, 'e': 0.016407774526292645}",20,0,27.548830547365526,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
413,False,"{'a': 0.01, 'e': 0.01624451444194987}",25,19,10.82792751473473,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.01, 'e': 0.016082878822588433}",25,11,25.875494792389652,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.01, 'e': 0.015922851504511698}",30,7,25.493355623596567,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
416,False,"{'a': 0.01, 'e': 0.015764416484854486}",35,21,23.732017610250622,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.01, 'e': 0.01560755791998283}",20,14,-0.5825083159983211,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
418,False,"{'a': 0.01, 'e': 0.015452260123909515}",25,3,35.230910376828994,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.01, 'e': 0.015298507566725518}",30,15,23.344843790055968,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.01, 'e': 0.01514628487304698}",25,13,19.431880927965995,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.01, 'e': 0.014995576820477703}",30,14,28.696375627139126,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
